Name,Description
"Ultimate Tic-Tac-Toe","Ultimate Tic-Tac-Toe is a board game composed of nine Tic-Tac-Toe boards arranged in a 3x3 grid."
"Bagh Guti","Bagh Guti is a hunt game from South Asia similar to others throughout the region. It is unique, though, because the goat pieces can be stacked on one another."
Santorini,"Santorini is an accessible strategy game, simple enough for an elementary school classroom while aiming to provide gameplay depth and content for hardcore gamers to explore."
"Aj Sayil","Aj Sayil, "The Wee-wee Ant" is a game played by the Maya in Belize, the first game played as part of the game Bul. It is a race game with captures, where captured pieces must be taken back to the start in a stack."
"Aj T'iwil","Aj T'iwil, "The Eagle," is a game played by the Maya in Belize, as part of the game Bul. It is a race game with captures, and is played second in the order of games making up Bul."
"Aj Sina'anil","Aj Sina'anil, "The Scorpion," is a game played by the Maya in Belize, as part of the game Bul. It is a race game with captures, where captured pieces must be taken back to the start in a stack. It is played third in the sequence making up Bul.

"
"Aj Sakakil","Aj Sakakil, "The Army-Ants," is a game played by the Maya and is the fourth game played in the sequence known as Bul. "
"A K'aak'il","A K'aak'il, "The Fire," is one of the constituent games of Bul. It is the last game played in the sequence, and is a race game with captures and stacking."
"Pagade Kayi Ata (Sixteen-handed)","Pagade Kayi Ata was a version of Pachisi invented by Maharaja Krishnaraja Wadiyar III of Mysore. This game can be played by up to sixteen players."
"Score Four","Score Four is a 3D version of Connect Four on a 4x4x4 board."
Awagagae,"Awagagae is a two-row mancala-style board game from Eritrea. It is closely related to other Gabata games from the region."
"Gabata (Ghinda)","Gabata is a term for many games played throughout the Horn of Africa. This version is played in Ghinda, and is similar to others played throughout Eritrea."
"Ciri Amber","Ciri Amber is a multiplayer graph theory game, which is based on the principle of regular graphs. A graph is regular if all the vertices have the same degree. "
Flowers,"A simple 4-in-a-row game played on an unusual board, which is the dual of the semi-regular 3.3.3.3.6 tiling."
Banqi,"Banqi is a two-player Chinese board game played on a 4×8 grid, or half of the xiangqi (Chinese chess) board. 

The pieces, as in Western chess, are placed inside the squares, rather than on the intersections as in Chinese chess."
"Onek Rong","Onek Rong is a multiplayer graph theory game, which can be played by two or more players. It is played on an undirected and vertex-weighted graph. "
Ringo,"An original n-in-row game with discs and rings."
Crossline,"Crossline is a mathematical game published in the october 2009 issue of Games Magazine. It's a pencil and paper game for two players."
Chomp,"Chomp is a two-player strategy game played on a rectangular grid made up of smaller square cells, which can be thought of as the blocks of a chocolate bar."
"Line and Cross","Line and Cross is a multi-player mathematical game."
Bizingo,"Bizingo is a two-player strategy board game created sometime in the 1850s in the United States. Two opposing armies on a triangular grid face off against one another. "
CrossGeo,"The game CrossGeo is a 2-player mathematical game. The game has three different versions: CrossGeo, CrossGeoR-B, and CrossGeoR-G-B. CrossGeo is the basic version, which can be played on graphs with onlu green (shared) edges."
Cram,"Cram is a mathematical game played on a sheet of graph paper. It is the impartial version of Domineering and the only difference in the rules is that each player may place their dominoes in either orientation, but it results in a very different game."
"Theseus and the Minotaur","Theseus and the Minotaur is a type of logic maze designed by Robert Abbott. In this maze, the player acts as Theseus, who is attempting to escape the Labyrinth."
Chase,"Chase is a turn-based computer game in which players are tasked with escaping from robots programmed to pursue and kill them. The player attempts to destroy the robots by moving in such a way that the robots collide with each other or other obstacles."
Patolli,"Patolli is a name which is used to refer to several different games in Mesoamerica. This game, which takes the shape of  square or circular circuit of spaces with the midpoints of the sides connected by a crossed track, is the most common, older, and more widespread game of the region."
Radran,"Radran is a graph theory game that uses a regular graph mechanism. A regular graph is a graph where each vertex has the same number of neighbours; i.e. every vertex has the same degree. Radran can be played on any undirected and edge-weighted graph. It can be played with two or more player."
Ilpion,"Ilpion is a graph theory game that uses a centroid decomposition method. It is played on an undirected and unweighted tree. The board graph is initially coloured with a common colour."
SpanRups,"The SpanRups is a graph theory game that uses concepts of spanning tree, and spanning caterpillar tree. A spanning tree T of an undirected graph G is a subgraph that is a tree which includes all of the vertices of G.  The spanning caterpillar tree C is a spanning tree in which all the vertices are within distance 1 from a central path."
OddEvenTree,"OddEvenTree is a graph theory game. It is played on an undirected, cyclic, and edge-weighted graph."
Hackenbush,"Hackenbush is a two-player game, invented by the mathematician John Horton Conway. It may be played on any configuration of coloured line segments connected to one another by their end points and to a ground line. 
"
LastEdge,"The game LastEdge is a 2-player mathematical game. The game has three different versions: LastEdge, LastEdgeR-B, and LastEdgeR-G-B. The LastEdge is the basic version which can be played on some green (shared) edges."
Oriath,"Oriath is a puzzle based on the graph-theoretic concept of regular graphs. A regular graph is a graph where each vertex has the same number of neighbours; i.e. every vertex has the same degree. Moreover, if a regular graph has k degree, then it's called a k-regular graph. 
"
